Guilt,confession_number,Video number,ID
0,0,1,2
0,1,1,2
0,2,1,2
0,3,1,2
0,0,2,37
0,1,2,37
0,2,2,37
0,3,2,37
0,0,4,32
0,1,4,32
0,2,4,32
0,3,4,32
0,0,5,30
0,1,5,30
0,2,5,30
0,3,5,30
0,0,6,25
0,1,6,25
0,2,6,25
0,3,6,25
0,0,8,23
0,1,8,23
0,2,8,23
0,3,8,23
0,0,9,18
0,1,9,18
0,2,9,18
0,3,9,18
0,0,10,20
0,1,10,20
0,2,10,20
0,3,10,20
0,0,11,6
0,1,11,6
0,2,11,6
0,3,11,6
0,0,12,7
0,1,12,7
0,2,12,7
0,3,12,7
0,0,13,8
0,1,13,8
0,2,13,8
0,3,13,8
0,0,15,14
0,1,15,14
0,2,15,14
0,3,15,14
0,0,16,17
0,1,16,17
0,2,16,17
0,3,16,17
1,0,1,9
1,1,1,9
1,2,1,9
1,3,1,9
1,0,2,10
1,1,2,10
1,2,2,10
1,3,2,10
1,0,3,11
1,1,3,11
1,2,3,11
1,3,3,11
1,0,4,12
1,1,4,12
1,2,4,12
1,3,4,12
1,0,5,16
1,1,5,16
1,2,5,16
1,3,5,16
1,0,6,21
1,1,6,21
1,2,6,21
1,3,6,21
1,0,7,24
1,1,7,24
1,2,7,24
1,3,7,24
1,0,8,26
1,1,8,26
1,2,8,26
1,3,8,26
1,0,9,27
1,1,9,27
1,2,9,27
1,3,9,27
1,0,10,28
1,1,10,28
1,2,10,28
1,3,10,28
1,0,11,31
1,1,11,31
1,2,11,31
1,3,11,31
1,0,12,33
1,1,12,33
1,2,12,33
1,3,12,33
1,0,13,34
1,1,13,34
1,2,13,34
1,3,13,34
