"Rating","Actual Guilt","Rehearsal Level","Mean","SD"
"Detailed","Innocent",1,5.73,2.37
"Detailed","Innocent",2,7.71,1.68
"Detailed","Innocent",3,7.11,2.33
"Detailed","Innocent",4,7.47,2.15
"Detailed","Guilty",1,6.29,2.47
"Detailed","Guilty",2,7.5,1.7
"Detailed","Guilty",3,7.95,2.32
"Detailed","Guilty",4,8,1.81
"Knowledgeable","Innocent",1,6.18,2.18
"Knowledgeable","Innocent",2,7.9,1.35
"Knowledgeable","Innocent",3,7.84,2.02
"Knowledgeable","Innocent",4,7.42,2.1
"Knowledgeable","Guilty",1,6.19,2.61
"Knowledgeable","Guilty",2,7.58,1.47
"Knowledgeable","Guilty",3,8.05,2.27
"Knowledgeable","Guilty",4,7.33,1.74
"Rehearsed","Innocent",1,6.81,2.4
"Rehearsed","Innocent",2,5.19,2.68
"Rehearsed","Innocent",3,5.58,2.25
"Rehearsed","Innocent",4,6.26,2.4
"Rehearsed","Guilty",1,5.9,2.7
"Rehearsed","Guilty",2,6.55,2.31
"Rehearsed","Guilty",3,5.47,3.09
"Rehearsed","Guilty",4,6,2.64
"Remorse","Innocent",1,3.45,2.07
"Remorse","Innocent",2,4.95,2.45
"Remorse","Innocent",3,3.26,2.14
"Remorse","Innocent",4,5.42,2.87
"Remorse","Guilty",1,3.33,2.8
"Remorse","Guilty",2,4.1,2.7
"Remorse","Guilty",3,4.89,2.75
"Remorse","Guilty",4,5.39,2.54
