ID,Gender,Age,Major,Current_Class,Ethnicity,Condition,Nervous_Interrogation,Stress_Interrogatio,Number_Confessions,Easy_FirstConf,Nervous_FirstConf,Believable_FirstConf,Easy_LastConf,Nervous_LastConf,Believeable_LastConf,Conf_1Length,Conf_2Length,Conf_3Length,Conf_4Length,confessionlengthcomposite
1,1,21,CrimJus,3,3,1,6,1,3,5,6,7,8,8,8,102,92,99,112,101.25
2,0,26,MentalHe,4,4,0,1,2,3,8,1,2,7,3,3,52,52,60,70,58.5
3,1,20,Crimino,2,3,0,9,9,1,7,9,5,8,6,7,47,120,62,52,70.25
4,1,23,ForensSc,4,4,1,5,6,4,2,7,4,4,5,9,119,139,126,117,125.25
5,0,21,Police,3,4,1,9,10,4,7,10,3,9,10,8,142,144,135,158,144.75
6,1,18,Criminol,1,4,0,5,5,4,8,5,6,6,4,6,46,71,74,73,66
7,0,20,Criminol,3,1,0,3,4,4,6,4,3,9,2,9,31,42,68,66,51.75
8,0,22,PublicAd,4,3,0,9,9,5,10,10,2,10,6,10,76,69,68,66,69.75
9,1,20,ForensPs,3,1,1,4,7,3,4,7,9,8,3,5,77,205,174,177,158.25
10,1,23,ForensSc,3,5,1,6,8,4,6,5,4,10,2,9,44,121,115,146,106.5
11,0,22,CrimJus,4,2,1,2,5,3,4,1,10,3,1,8,77,224,225,219,186.25
12,1,18,Criminol,1,3,1,6,8,4,2,9,4,8,5,6,128,252,302,299,245.25
13,1,21,English,3,2,0,5,7,3,4,6,1,8,6,7,47,149,90,98,96
14,1,19,CrimJus,2,2,0,9,7,3.5,1,8,1,8,7,8,84,134,142,140,125
15,1,18,Criminol,1,3,1,8,8,4,6,7,3,9,3,9,132,244,266,313,238.75
16,1,19,ForensSc,1,3,1,6,8,5,8,5,4,9,4,8,66,172,168,227,158.25
17,1,18,ForensSc,1,2,0,2,4,3,8,8,7,5,5,8,50,74,84,83,72.75
18,1,18,Criminol,1,3,0,6,9,3,3,5,4,3,10,8,48,143,119,128,109.5
19,1,22,ForensPs,4,1,0,6,6,5,6,6,5,8,2,4,31,62,76,57,56.5
20,1,23,Police,3,3,0,1,1,3,4,2,3,10,1,10,77,119,77,128,100.25
21,1,19,Criminol,1,3,1,3,9,4,4,4,7,2,7,6,103,168,167,172,152.5
22,0,24,PublicAd,3,3,0,5,5,4,3,8,4,8,8,8,38,140,132,140,112.5
23,1,23,Criminol,2,3,0,7,7,3,1,8,1,5,5,5,48,124,139,145,114
24,1,20,History,4,3,1,7,8,4,5,6,1,7,7,9,193,287,267,272,254.75
25,1,21,ForensSc,3,1,0,9,10,3,5,8,2,8,10,7,42,65,115,67,72.25
26,1,24,Criminol,3,3,1,4,2,4,6,5,3,10,1,8,66,205,236,177,171
27,1,22,CJBA,4,2,1,7,6,4,4,8,3,9,1,10,72,127,150,151,125
28,1,21,ForensPs,3,3,1,5,6,4,6,7,2,9,4,8,65,83,84,79,77.75
29,1,18,PolSc,1,4,0,10,10,4,1,10,1,1,10,1,117,129,152,166,141
30,1,23,CrimJus,3,3,0,6,7,4,1,10,1,9,10,9,30,56,77,69,58
31,1,20,Police,2,3,1,8,9,4,1,10,1,9,6,9,65,95,103,118,95.25
32,0,24,Criminol,4,4,0,7,7,3,3,4,2,6,8,6,55,130,118,126,107.25
33,1,25,CrimJus,4,1,1,6,6,3,1,7,3,9,3,8,32,62,70,67,57.75
34,1,26,ForensPs,3,3,1,9,9,3,2,9,2,9,4,7,48,119,78,76,80.25
35,1,18,Criminol,1,2,0,2,2,3,3,5,4,10,1,10,78,130,96,97,100.25
36,1,40,CrimJus,4,4,0,8,8,3,1,9,5,4,5,6,119,211,154,163,161.75
37,1,20,CrimJus,2,3,0,4,8,4,10,3,8,9,3,8,44,77,72,75,67
